codigo_inep,escola
35155226,13 DE JUNHO ESCOLA
35116580,14 DE AGOSTO ESCOLA
35142724,14 DE JULHO COLEGIO
23239204,15 DE ABRIL CENTRO EDUCACIONAL
35194273,20 DE NOVEMBRO COLEGIO
23246561,21 DE ABRIL COLEGIO BEZERRA DE MENEZES
35192211,24 DE MAIO COLEGIO
23077557,7 DE SETEMBRO COLEGIO - EBS
23077549,7 DE SETEMBRO COLEGIO - NGS
35137716,8 DE MAIO COLEGIO
35107906,A EINSTEIN COLEGIO
35108923,ABACO COLEGIO
35481014,ABACO III COLEGIO
35286138,ABC MASTER ESCOLA DE ENSINO FUNDAMENTAL
35124886,ABRAHAO NAIME COLEGIO
35813936,ABSOLUTO COLEGIO
35103160,ABSOLUTO COLEGIO
35161469,ABSOLUTO COLEGIO
15159485,ACADEMIA BORDONI DE REFERENCIA EDUCACIONAL ABRE
26112558,ACADEMIA SANTA GERTRUDES
26171155,ACADEMIA SAO MATEUS DO JANGA LTDA
35130606,ACADEMICO EDUCACIONAL
25101579,ACAO COLEGIO E CURSO
35118606,ACEI ESCOLA EIFM
41602919,ACESSO BOQUEIRAO
41152689,ACESSO CAMPO LARGO
42158133,ACESSO EDUCACAO
41149971,ACESSO FAZENDA RIO GRANDE
41150120,ACESSO SANTA FELICIDADE
41387155,ACESSO SAO JOSE DOS PINHAIS
35194827,ACONCHEGO CENTRO EDUCACIONAL
35197221,ADAMANTINENSE COLEGIO
35133772,ADELIA CAMARGO CORREA COLEGIO DE EFM
35151518,ADELIA COSTA E SILVA COLEGIO
31323772,ADJETIVO - CETEP CENTRO TECNICO ENSINO PROFISSIONAL
33218803,ADN MASTER COLEGIO LTDA
35197397,ADONAI COLEGIO
35466153,ADV BOTUCATU UNIDADE IV COLEGIO
35299546,ADV COLEGIO
35299789,ADV COLEGIO UNIDADE II
35139932,ADVENTISTA COLEGIO
35168671,ADVENTISTA COLEGIO DE INTERLAGOS
35106926,ADVENTISTA DA LIBERDADE COLEGIO
35166686,ADVENTISTA DE AMERICANA ESCOLA
35107645,ADVENTISTA DE CAMPO LIMPO COLEGIO
35108182,ADVENTISTA DE GUARULHOS ESCOLA
35150344,ADVENTISTA DE ITAPECERICA DA SERRA COLEGIO
41160258,ADVENTISTA PINHAIS E - EF
35107633,ADVENTISTA SANTO AMARO COLEGIO
35132160,ADVENTISTA SAO CAETANO DO SUL COLEGIO
35118588,ADVENTISTA TAUBATE TREMEMBE COLEGIO
35176597,ADVENTUS COLEGIO
33039976,AESVP COLEGIO VICENTINO SANTA ISABEL
35438170,AFAM COLEGIO UNIDADE SAO MIGUEL
35141112,AFONSO PENA ESCOLA E I F M
23489995,AGAPE COLEGIO
23247088,AGAPE COLEGIO
35158550,AGNUS COLEGIO
23072881,AGNUS COLEGIO
35150654,AGUA VIVA COLEGIO
35115400,AIMONE SALERNO DR COLEGIO
35164768,AJUDANDO A ESCOLHER O SEU CAMINHO COLEGIO AESC
35125830,ALBERT EINSTEIN COLEGIO
35103081,ALBERT EINSTEIN COLEGIO
35192107,ALBERT EINSTEIN DE ORLANDIA COLEGIO
35498646,ALBERT EINSTEIN ETIEP UNIDADE II
35124199,ALBERT SABIN COLEGIO
35118503,ALBERT SABIN ESCOLA DE ENSINO MEDIO
35174920,ALCANCE COLEGIO
35167794,ALCANCE COLEGIO
41386329,ALDEIA DO SOL CEI EF M
35143820,ALEGRIA DE CRESCER ESCOLA DE ENS MEDIO
35114042,ALEM COLEGIO
35260939,ALEXANDRA COLEGIO
35440310,ALEXANDRE DUMAS COMPLEXO EDUCACIONAL
35165529,ALFA BETA COLEGIO
35160544,ALFA COLEGIO UNIDADE II
41382161,ALFA DE UMUARAMA CENTRO C E M
35296016,ALFA OMEGA COLEGIO
41150546,ALFA REDE DE ENSINO
42003555,ALFA REDE DE ENSINO
41162420,ALFA REDE DE ENSINO
41158555,ALFA REDE DE ENSINO
42064856,ALFA REDE DE ENSINO
42130875,ALFA REDE DE ENSINO
41377001,ALFA REDE DE ENSINO
42073944,ALFA REDE DE ENSINO
42160499,ALFA REDE DE ENSINO
42091462,ALFA REDE DE ENSINO
41158768,ALFA REDE DE ENSINO
41159640,ALFA REDE DE ENSINO
41157044,ALFA REDE DE ENSINO
41372379,ALFA REDE DE ENSINO
35193914,ALFABETO COLEGIO
35111259,ALFREDO JOSE BALBI DOUTOR ESCOLA DE APLICACAO
25132059,ALGORITMO COLEGIO E CURSO
35154441,ALIADO COLEGIO UNIDADE CLUBE GUAPIRA
35809688,ALIADO COLEGIO UNIDADE JARDIM JAPAO
35134569,ALIADO COLEGIO UNIDADE JOAO PAULO II
41099605,ALIANCA CEI EF M
35143650,ALIANCA COLEGIO
35144721,ALICERCE COLEGIO
35152195,ALMA MATER COLEGIO
35142360,ALMEIDA GASPARIN COLEGIO
35802086,ALMEIDA JUNIOR INSTITUTO DE EDUCACAO
35155755,ALPHA INSTITUTO EDUCACIONAL
35561320,ALPHA LUMEN INSTITUTO
35125696,ALPIS VEREDAS COLEGIO
35115368,ALTA MOGIANA FUNDACAO EDUCACIONAL
33025460,ALTERNATIVA COLEGIO
27224821,ALTERNATIVA ESCOLA DE EDUCACAO BASICA
35429211,ALTERNATIVO AVANCADO COLEGIO
23307013,ALTERNATIVO COLEGIO
35568028,ALTERNATIVO COLEGIO
28033450,ALTERNATIVO CURSO E COLEGIO
41602056,ALTO PADRAO COLEGIO ED INF E ENS FUND E MED
35114510,ALTO PADRAO FRANCANO INSTITUTO ENSINO
35109356,ALVES COLEGIO
35101965,ALVORADA COLEGIO
35125659,AMERICANA INSTITUTO EDUCACIONAL DE
35151907,AMERICO FRANCO INSTITUTO EDUCACIONAL
33110549,AMETISTA EMPREENDIMENTOS EDUCACIONAIS LTDA - COLEGIO CRISTAO OLIVEIRA ARAUJO
24087505,AMO COLEGIO E CURSO
35808301,AMORIM COLEGIO
35163338,AMORIM COLEGIO
35100730,AMORIM SANTA TERESA COLEGIO
35466657,ANA LELIS SANTANA CENTRO EDUCACIONAL UNID II
29455200,ANA MARIA RIBEIRO DE ALMEIDA
25206800,ANA VIRGINIA SARAIVA DO NASCIMENTO
35137078,ANALISE COLEGIO UNIDADE I
26101106,ANBEC - COLEGIO DE NOSSA SENHORA DE LOURDES
41140397,ANCHIETA CEF M
35153394,ANCHIETA COLEGIO
35130898,ANCHIETA COLEGIO
35108959,ANCHIETA COLEGIO
41127170,ANCHIETA CTRO EDUC - LTDA
23243597,ANDELINE COSTA COLEGIO
35159359,ANDRADE INSTITUTO EDUCACIONAL
35139488,ANDRADINA CENTRO EDUCACIONAL DE
35326343,ANGLO ALDEIA DA SERRA
33439796,ANGLO AMERICANO ESCOLAS INTEGRADAS LTDA
35581367,ANGLO BOTUCATU
41071581,ANGLO C EI EF M
25092260,ANGLO CENTRO DE EDUCACAO LTDA
35513672,ANGLO CERQUILHO COLEGIO
35144502,ANGLO CEZANNE COLEGIO
35121307,ANGLO CIDADE DE SAO CARLOS COLEGIO
35128659,ANGLO DE BOITUVA E FUNDAMENTAL E MEDIO COLEGIO
35802852,ANGLO IBIUNA COLEGIO
42161398,ANGLO ITAPEMA
35811683,ANGLO ITATIBA CURSO E COLEGIO
41023960,ANGLO MARINGA CEF M
35153989,ANGLO MORUMBI COLEGIO
35155767,ANGLO SALTO DE PIRAPORA
35158616,ANGLO SISTEMA DE ENSINO
50032950,ANGLO TRES LAGOAS
35105971,ANHEMBI MORUMBI COLEGIO
35139397,ANJO DA GUARDA SAO RAFAEL COLEGIO
23274859,ANTARES ATS COLEGIO
23077042,ANTARES ATS COLEGIO
23075961,ANTARES ATS COLEGIO
35150757,ANTARES COLEGIO
35143443,ANTENOR THOMAZI COLEGIO CRISTAO
35136396,ANTOINE DE SAINT EXUPERY COLEGIO
35481397,ANTONI GAUDI COLEGIO
35110917,ANTONIO AFONSO COLEGIO
35173548,APICE INSTITUTO EDUCACIONAL LTDA
35197415,APICYS COLEGIO
35109393,APLICACAO DE OSASCO COLEGIO
35161559,APOGEU COLEGIO
35172856,APOLLO COLEGIO
35156541,APRENDIZ DO FUTURO COLEGIO
35481580,APROVADO COLEGIO E CURSO
35290920,AQUARELA ESCOLA DE ENSINO MEDIO
35291511,ARARA AZUL COLEGIO
35801793,ARARAS LICEU
35802839,ARBOS COLEGIO UNIDADE MARECHAL DEODORO
35448886,ARCA DE NOE ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL
35153692,ARCADIA COLEGIO
35005969,ARCO ESCOLACOOPERATIVA
35125349,ARCO IRIS EVOLUCAO COLEGIO
35144952,ARGUMENTO COLEGIO
23069864,ARI DE SA CAVALCANTE COLEGIO - DUQUE DE CAXIAS
23235543,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO
23272430,ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO
23246871,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO
35806389,ARMANDO ZOLLNER ESCOLA UNIAO DE SISTEMA DE ENSINO FAZER
41133307,ARQUIDIOCESANO DE CURITIBA C - EF M
35165086,ARTE EMPREENDIMENTOS EDUCACIONAIS ESCOLA
35809901,ARTE LIVRE COLEGIO
35808325,ARTEMAIOR COLEGIO EDUCACAO INFANTIL ENS FUNDAMENTAL E MEDIO
35108650,ARTUR DE QUEIROS CENTRO EDUCACIONAL
35807503,ARTUR FERREIRA COLEGIO EF E PRE ESCOLA CONCHINHA
35122993,ARUA COLEGIO
35297987,ARUJAZINHO CENTRO EDUCACIONAL COLEGIO DOM BOSCO
35173241,ASSEMBLEIANO DE MARILIA COLEGIO
51087871,ASSOCIACAO BENEDITINA DA PROVIDENCIA - COLEGIO MAE DA DIVINA PROVIDENCIA
13025082,ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA
35290762,ASSOCIACAO DE DESENVOLVIMENTO EDUCACIONAL CSM
35125878,ASSOCIACAO DE ENS DE BOITUVA ESCOLA
35138708,ASSOCIACAO DE ENSINO GUARARAPES
35119933,ASSOCIACAO DE ENSINO ITAPORANGA
26057506,ASSOCIACAO EDUCACIONAL AUXILIADORA
51071673,ASSOCIACAO EDUCACIONAL DALILO SANTO POLESSO
35111119,ASSOCIACAO EDUCACIONAL DE CACAPAVA
26188651,ASSOCIACAO EDUCACIONAL DOM MIGUEL DE LIMA VALVERDE
33078866,ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES
31323942,ASSOCIACAO EDUCACIONAL JOHANN KEPLER
21254184,ASSOCIACAO EDUCACIONAL PROFESSORA NORONHA
35138769,ASTHER COLEGIO
35139452,ATENEU COLEGIO
35809111,ATENEU COLEGIO
35139208,ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III
23065672,ATENEU DO CEARA COLEGIO
23243163,ATENEU DO CEARA COLEGIO
35268586,ATHENAS INSTITUTO DE EDUCACAO
35805048,ATHENEU COLEGIO
35143112,ATIBAIA COLEGIO
35137881,ATIBAIA COLEGIO INTEGRADO DE
35152110,ATIVA DE EDUCACAO E CULTURA COLEGIO
35165943,ATLANTICO DE ENSINO INSTITUTO
35185619,ATOMO COLEGIO
52106748,ATOMO ENEM E PRE VESTIBULAR
27046362,ATUAL CURSOS EDUCACAO BASICA
31331619,ATUAL SISTEMA DE ENSINO
35429612,AUBRICK ESCOLA BILINGUE MULTICULTURAL
35809724,AUGUSTO FREITAS CENTRO EDUCACIONAL
35170458,AUGUSTO HELOI COLEGIO
35143406,AUGUSTO LARANJA COLEGIO UNIDADE I
35442392,AUGUSTO RAMOS COLEGIO
35108112,AUGUSTO RUSCHI COLEGIO
35157478,AUGUSTO SILVA COLEGIO
35304049,AUTENTICO COLEGIO
23235950,AUXILIADORA NOSSA SENHORA ESCOLA
33196788,AVANCO CURSO E COLEGIO LTDA
33189137,AVANCO FREGUESIA COLEGIO E CURSO LTDA
41152441,AXIA C - EM
23165022,AZARIAS SOBREIRA ESCOLA SESI PADRE - UNIDADE DE NEGOCIOS SESI CARIRI
35160453,BALAO AZUL DINAMICO ESCOLA EDUCACAO INF E ENS FUNDAMENTAL
35104985,BANDEIRANTES COLEGIO EFM
35113402,BARAO DE LIMEIRA COLEGIO
35108613,BARAO DE MAUA COLEGIO
35114911,BARAO DE MAUA ESCOLA DE ED INFANTIL FUNDAMENTAL E MEDIO
35119891,BARAO DE PIRATININGA UNIDADE ESCOLAR DE ENSINO INTEGRADO
35143297,BASIC COLEGIO
35477175,BATALHA COLEGIO
35150095,BATISTA AGAPE COLEGIO
35160763,BATISTA BIBLICO INSTITUTO EDUCACIONAL
35102751,BATISTA BRASILEIRO COLEGIO
35118114,BATISTA BRASILEIRO UNIDADEBAURU
35142529,BATISTA DA PENHA COLEGIO
35143029,BATISTA DE ITAPEVI ESCOLA
23232242,BATISTA SANTOS DUMONT - COLEGIO ANEXO I
23065893,BATISTA SANTOS DUMONT COL
35480745,BEACON SCHOOL
35105961,BEATISSIMA VIRGEM MARIA INSTITUTO DE EDUCACAO
35127991,BEIT YAACOV ESCOLA
35810307,BEKA COLEGIO UNIDADE III
35802281,BELA ALVORADA COLEGIO
35124266,BEM ME QUER CENTRO DE ESTUDOS INTEGRADOS
35163831,BENEDITINO DE VINHEDO COLEGIO
35104991,BENJAMIN CONSTANT COLEGIO
35125568,BENTO QUIRINO COLEGIO POLITECNICO UNIDADE II
41077865,BERTONI CEI EF M
35185565,BETEL BRASILEIRO COLEGIO
53002636,BLUE SCHOOL EDUCACIONAL
41352866,BOM JESUS DIVINA PROVIDENCIA COL EDUC INF ENS FUND E MEDIO
35299807,BOM JESUS DOS PERDOES INSTITUTO EDUCACIONAL
41138430,BOM JESUS SAO JOSE DOS PINHAIS COL EDUC INFANTIL ENSINO FUNDAMENTAL E MEDIO
41131789,BOM JESUS SEMINARIO
35150061,BOM RETIRO COLEGIO
31365599,BOM SUCESSO ESCOLA MONTESSORIANA
41385616,BONAPARTE CEF M
35811543,BOSCARIOLI COLEGIO
41361555,BOSCO C DEI EF M
41163117,BOSCO COLOMBO C DEI EF M
41150635,BOSCO DE MARINGA II C DEM
41145461,BOSCO TOMAZINA C DEI EF M
35117195,BRAGA MELLO COLEGIO
35457334,BRANTA DE EDUCACAO INSTITTUTO
35810617,BRASIL COLEGIO
35114923,BRASIL COLEGIO
35133565,BRASIL JOVEM COLEGIO
35153771,BRASILEIRA ESCOLA DE EDUCACAO
35131660,BRASILIA DE SAO PAULO COLEGIO
35135094,BRASILIS COLEGIO
35161937,BRAZILIAN INTERNATIONAL SCHOOL
35154337,BRIDA COLEGIO
53016963,C DE ENS DO SESI DF - SOBRADINHO
53010450,C DE ENS EBENEZER - CENEB
53038002,C DE ENS MEDIO DELTA
31246395,C EDUC COEDUCAR
31312096,C EDUC DE ERVALIA
31247481,C EDUC GALILEU GALILEI
31274691,C EDUC GENNY GOMES
31223131,C EDUC MARIA MADALENA F PASS0S
31229865,C EDUC SAO TOMAS DE AQUINO
31245372,C EDUC SEBASTIANA ALVES
31196142,C EDUC TEC GAL EDMUNDO M S SILVA
53014707,C EDUCACIONAL CCI SENIOR
53013808,C EDUCACIONAL DPAULA
53001087,C EDUCACIONAL LEONARDO DA VINCI
